Player_ID,event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
70,19,83,1259,1712796,1712797,52122,20,29,1047,1,0,16
70,20,73,1332,2235892,2235892,42165,25,8,1046,2,0,12
46,1,76,76,608263,608264,608263,10,0,1000,0,0,4
46,2,59,135,7108779,7108780,3130406,75,15,1002,1,0,12
46,3,70,205,3901894,3901895,3012425,40,15,1003,0,0,10
46,4,35,240,9036060,9036060,4567582,90,15,1002,0,0,2
46,5,58,298,5229690,5229691,4593395,55,18,1004,1,0,2
46,6,51,349,4677305,4677306,4613187,50,0,1003,0,0,13
46,7,38,387,7692463,7692463,5173291,75,0,1005,0,0,2
46,8,43,430,2758100,2758101,4709263,30,0,1003,0,0,8
46,9,63,493,2528481,2528482,4202348,25,0,1005,0,0,10
46,10,34,527,6940797,6940797,4523061,70,0,1007,0,0,17
46,11,57,584,2977405,2977406,4067532,30,0,1006,0,0,1
46,12,64,648,1884360,1884360,3360413,20,0,1004,4,0,16
46,13,57,705,6114166,6114166,3667834,60,0,1005,2,0,3
46,14,58,763,5503342,5503342,3764103,55,0,1005,0,0,2
46,15,71,834,907931,907932,2994049,10,2,1005,1,0,0
46,16,45,879,6137704,6137705,3168442,60,2,1005,0,0,1
46,17,74,953,3209176,3209177,2984528,30,2,1005,0,0,8
46,18,49,1002,6590647,6590647,3252612,60,10,1004,3,0,2
46,19,96,1098,278412,278412,2570093,5,1,1006,2,0,1
46,20,72,1170,2397972,2397972,2382359,25,2,1009,1,0,0
58,1,54,54,5141847,5141849,5141845,60,0,1000,0,0,8
58,2,89,143,998831,998832,1901525,15,14,1000,1,0,2
58,3,87,230,529142,529143,748246,10,8,999,1,0,2
58,4,39,269,8446160,8446161,1876638,90,5,1001,1,0,4
58,5,74,343,1153319,1153319,1116414,15,0,1003,1,0,0
58,6,43,386,6598469,6598471,1721350,65,3,1005,0,0,4
58,7,66,452,629762,629763,745767,10,3,1010,0,0,4
58,8,37,489,4962360,4962361,857150,50,5,1012,1,0,3
58,9,62,551,3016980,3016980,857664,30,3,1014,2,0,5
58,10,47,598,2536495,2536495,792166,25,20,1018,1,0,14
58,11,46,644,6169961,6169961,1151095,60,23,1019,1,0,3
58,12,50,694,5059936,5059937,1367639,50,15,1017,1,0,8
